system   D            wsystem.c:583  maybe_parent_dir                 [   0.00054] Also searching C:\Users\Furiosity\Documents\Visual Studio 2010\Projects\VEngine\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00088] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00092] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00780] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.01762] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.01769] Allegro version: 5.0.4
dtor     D               dtor.c:184  _al_register_destructor          [   0.02774] added dtor for object 0208E350, func 59501942
dtor     D               dtor.c:184  _al_register_destructor          [   0.02781] added dtor for object 0208E518, func 595026F3
display  I           wgl_disp.c:761  get_available_pixel_formats_ext  [   0.17201] Got 434 visuals.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17205] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17206] Decoding visual no. 1...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17211] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17213] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17214] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17216] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17217] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17218] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17219] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17221] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17222] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17224] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17225] Decoding visual no. 2...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17229] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17231] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17232] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17233] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17265] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17267] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17268] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17269] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17270] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17272] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17273] Decoding visual no. 3...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17278] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17280] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17281] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17282] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17283] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17287] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17289] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17290] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17304] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17306] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17307] Decoding visual no. 4...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17313] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17314] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17316] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17317] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17318] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17319] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17320] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17322] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17323] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17324] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17325] Decoding visual no. 5...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17330] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17332] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17333] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17334] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17335] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17336] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17338] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17339] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17340] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17341] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17343] Decoding visual no. 6...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17347] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17349] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17350] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.17351] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.17352] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17354] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17355] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17356] Samples: 0
display  D   display_settings.c:357  _al_score_display_settings       [   0.17357] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17359] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17360] Decoding visual no. 7...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17364] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17366] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17367] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17369] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17370] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17371] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17372] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17373] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17375] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17376] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17377] Decoding visual no. 8...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17382] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17383] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17385] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17386] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17387] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17388] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17389] Sample buffers: no
display  I           wgl_disp.c:258  display_pixel_format             [   0.17392] Samples: 0
display  D   display_settings.c:438  _al_score_display_settings       [   0.17393] Multisample Buffers requirement not met
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17394] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17396] Decoding visual no. 9...
